Levels Grapheme Reconstruction Report
Generated: 2026-02-16T06:54:30.346Z
Total levels: 355
Potential misspellings (mismatch): 1

Entries
id | expected | reconstructed | status
lvl_heifer | HEIFER | HEIFER | OK
lvl_high | HIGH | HIGH | OK
lvl_hyacinth | HYACINTH | HYACINTH | OK
lvl_hygiene | HYGIENE | HYGIENE | OK
lvl_hymn | HYMN | HYMN | OK
lvl_identification | IDENTIFICATION | IDENTIFICATION | OK
lvl_imagination | IMAGINATION | IMAGINATION | OK
lvl_imprisonment | IMPRISONMENT | IMPRISONMENT | OK
lvl_improvement | IMPROVEMENT | IMPROVEMENT | OK
lvl_indebted | INDEBTED | INDEBTED | OK
lvl_independently | INDEPENDENTLY | INDEPENDENTLY | OK
lvl_indict | INDICT | INDICT | OK
lvl_influential | INFLUENTIAL | INFLUENTIAL | OK
lvl_information | INFORMATION | INFORMATION | OK
lvl_infrastructure | INFRASTRUCTURE | INFRASTRUCTURE | OK
lvl_interconnected | INTERCONNECTED | INTERCONNECTED | OK
lvl_interesting | INTERESTING | INTERESTING | OK
lvl_international | INTERNATIONAL | INTERNATIONAL | OK
lvl_interruption | INTERRUPTION | INTERRUPTION | OK
lvl_introduction | INTRODUCTION | INTRODUCTION | OK
lvl_investigation | INVESTIGATION | INVESTIGATION | OK
lvl_jalapeno | JALAPENO | JALAPENO | OK
lvl_journalists | JOURNALISTS | JOURNALISTS | OK
lvl_judge | JUDGE | JUDGE | OK
lvl_jump | JUMP | JUMP | OK
lvl_junction | JUNCTION | JUNCTION | OK
lvl_keyboard | KEYBOARD | KEYBOARD | OK
lvl_keychain | KEYCHAIN | KEYCHAIN | OK
lvl_keystone | KEYSTONE | KEYSTONE | OK
lvl_khaki | KHAKI | KHAKI | OK
lvl_kiss | KISS | KISS | OK
lvl_knee | KNEE | KNEE | OK
lvl_knife | KNIFE | KNIFE | OK
lvl_knight | KNIGHT | KNIGHT | OK
lvl_knot | KNOT | KNOT | OK
lvl_knowledgeable | KNOWLEDGEABLE | KNOWLEDGEABLE | OK
lvl_knuckle | KNUCKLE | KNUCKLE | OK
lvl_lacquer | LACQUER | LACQUER | OK
lvl_laugh | LAUGH | LAUGH | OK
lvl_leopard | LEOPARD | LEOPARD | OK
lvl_liaison | LIAISON | LIAISON | OK
lvl_lieutenant | LIEUTENANT | LIEUTENANT | OK
lvl_liquefy | LIQUEFY | LIQUEFY | OK
lvl_macabre | MACABRE | MACABRE | OK
lvl_magazine | MAGAZINE | MAGAZINE | OK
lvl_maintenance | MAINTENANCE | MAINTENANCE | OK
lvl_mannequin | MANNEQUIN | MANNEQUIN | OK
lvl_manufacturing | MANUFACTURING | MANUFACTURING | OK
lvl_marmalade | MARMALADE | MARMALADE | OK
lvl_measurement | MEASUREMENT | MEASUREMENT | OK
lvl_meringue | MERINGUE | MERINGUE | OK
lvl_misunderstand | MISUNDERSTAND | MISUNDERSTAND | OK
lvl_mnemonic | MNEMONIC | MNEMONIC | OK
lvl_mosque | MOSQUE | MOSQUE | OK
lvl_motion | MOTION | MOTION | OK
lvl_myth | MYTH | MYTH | OK
lvl_narration | NARRATION | NARRATION | OK
lvl_nation | NATION | NATION | OK
lvl_national | NATIONAL | NATIONAL | OK
lvl_necklace | NECKLACE | NECKLACE | OK
lvl_neighbor | NEIGHBOR | NEIGHBOR | OK
lvl_new | NEW | NEW | OK
lvl_observation | OBSERVATION | OBSERVATION | OK
lvl_of | OF | OF | OK
lvl_official | OFFICIAL | OFFICIAL | OK
lvl_oil | OIL | OIL | OK
lvl_once | ONCE | ONCE | OK
lvl_one | ONE | ONE | OK
lvl_organization | ORGANIZATION | ORGANIZATION | OK
lvl_ouija | OUIJA | OUIJA | OK
lvl_out | OUT | OUT | OK
lvl_outdated | OUTDATED | OUTDATED | OK
lvl_parliament | PARLIAMENT | PARLIAMENT | OK
lvl_participation | PARTICIPATION | PARTICIPATION | OK
lvl_pay | PAY | PAY | OK
lvl_pentagon | PENTAGON | PENTAGON | OK
lvl_people | PEOPLE | PEOPLE | OK
lvl_performance | PERFORMANCE | PERFORMANCE | OK
lvl_persistence | PERSISTENCE | PERSISTENCE | OK
lvl_phantom | PHANTOM | PHANTOM | OK
lvl_pharmacy | PHARMACY | PHARMACY | OK
lvl_pharoah | PHAROAH | PHAROAH | OK
lvl_phlegm | PHLEGM | PHLEGM | OK
lvl_phone | PHONE | PHONE | OK
lvl_photo | PHOTO | PHOTO | OK
lvl_physics | PHYSICS | PHYSICS | OK
lvl_pigeon | PIGEON | PIGEON | OK
lvl_pizza | PIZZA | PIZZA | OK
lvl_plaid | PLAID | PLAID | OK
lvl_playwrights | PLAYWRIGHTS | PLAYWRIGHTS | OK
lvl_pneumonia | PNEUMONIA | PNEUMONIA | OK
lvl_politicians | POLITICIANS | POLITICIANS | OK
lvl_popularity | POPULARITY | POPULARITY | OK
lvl_possibility | POSSIBILITY | POSSIBILITY | OK
lvl_postgraduate | POSTGRADUATE | POSTGRADUATE | OK
lvl_potentially | POTENTIALLY | POTENTIALLY | OK
lvl_preparation | PREPARATION | PREPARATION | OK
lvl_professional | PROFESSIONAL | PROFESSIONAL | OK
lvl_pseudonym | PSEUDONYM | PSEUDONYM | OK
lvl_psychic | PSYCHIC | PSYCHIC | OK
lvl_pterodactyl | PTERODACTYL | PTERODACTYL | OK
lvl_qualification | QUALIFICATION | QUALIFICATION | OK
lvl_questionnaire | QUESTIONNAIRE | QUESTIONNAIRE | OK
lvl_queue | QUEUE | QUEUE | OK
lvl_railroad | RAILROAD | RAILROAD | OK
lvl_railroads | RAILROADS | RAILROADS | OK
lvl_raw | RAW | RAW | OK
lvl_receipt | RECEIPT | RECEIPT | OK
lvl_recommendation | RECOMMENDATION | RECOMMENDATION | OK
lvl_refrigeration | REFRIGERATION | REFRIGERATION | OK
lvl_rehabilitation | REHABILITATION | REHABILITATION | OK
lvl_relationship | RELATIONSHIP | RELATIONSHIP | OK
lvl_renaissance | RENAISSANCE | RENAISSANCE | OK
lvl_rendezvous | RENDEZVOUS | RENDEZVOUS | OK
lvl_representation | REPRESENTATION | REPRESENTATION | OK
lvl_responsibility | RESPONSIBILITY | RESPONSIBILITY | OK
lvl_responsiveness | RESPONSIVENESS | RESPONSIVENESS | OK
lvl_revolutionary | REVOLUTIONARY | REVOLUTIONARY | OK
lvl_rhapsody | RHAPSODY | RHAPSODY | OK
lvl_rhino | RHINO | RHINO | OK
lvl_rhyme | RHYME | RHYME | OK
lvl_rhythm | RHYTHM | RHYTHM | OK
lvl_rooftops | ROOFTOPS | ROOFTOPS | OK
lvl_rough | ROUGH | ROUGH | OK
lvl_sandstone | SANDSTONE | SANDSTONE | OK
lvl_sandstorm | SANDSTORM | SANDSTORM | OK
lvl_sandwich | SANDWICH | SANDWICH | OK
lvl_scene | SCENE | SCENE | OK
lvl_scent | SCENT | SCENT | OK
lvl_schism | SCHISM | SCHISM | OK
lvl_science | SCIENCE | SCIENCE | OK
lvl_scissors | SCISSORS | SCISSORS | OK
lvl_see | SEE | SEE | OK
lvl_seize | SEIZE | SEIZE | OK
lvl_sew | SEW | SEW | OK
lvl_shellfish | SHELLFISH | SHELLFISH | OK
lvl_shipment | SHIPMENT | SHIPMENT | OK
lvl_shoe | SHOE | SHOE | OK
lvl_shun | SHUN | SHUN | OK
lvl_sieve | SIEVE | SIEVE | OK
lvl_sip | SIP | SIP | OK
lvl_sketches | SKETCHES | SKETCHES | OK
lvl_sky | SKY | SKY | OK
lvl_social | SOCIAL | SOCIAL | OK
lvl_sophistication | SOPHISTICATION | SOPHISTICATION | OK
lvl_souffle | SOUFFLE | SOUFFLE | OK
lvl_special | SPECIAL | SPECIAL | OK
lvl_star | STAR | STAR | OK
lvl_substitution | SUBSTITUTION | SUBSTITUTION | OK
lvl_subtle | SUBTLE | SUBTLE | OK
lvl_sugar | SUGAR | SUGAR | OK
lvl_sunlight | SUNLIGHT | SUNLIGHT | OK
lvl_sunscreen | SUNSCREEN | SUNSCREEN | OK
lvl_sunshine | SUNSHINE | SUNSHINE | OK
lvl_sustainability | SUSTAINABILITY | SUSTAINABILITY | OK
lvl_tasting | TASTING | TASTING | OK
lvl_technological | TECHNOLOGICAL | TECHNOLOGICAL | OK
lvl_the | THE | THE | OK
lvl_they | THEY | THEY | OK
lvl_thorough | THOROUGH | THOROUGH | OK
lvl_though | THOUGH | THOUGH | OK
lvl_through | THROUGH | THROUGH | OK
lvl_toasters | TOASTERS | TOASTERS | OK
lvl_tomatoes | TOMATOES | TOMATOES | OK
lvl_tortilla | TORTILLA | TORTILLA | OK
lvl_tough | TOUGH | TOUGH | OK
lvl_transformation | TRANSFORMATION | TRANSFORMATION | OK
lvl_transportation | TRANSPORTATION | TRANSPORTATION | OK
lvl_tsar | TSAR | TSAR | OK
lvl_tsunami | TSUNAMI | TSUNAMI | OK
lvl_turn | TURN | TURN | OK
lvl_unbelievable | UNBELIEVABLE | UNBELIEVABLE | OK
lvl_uncomfortable | UNCOMFORTABLE | UNCOMFORTABLE | OK
lvl_understanding | UNDERSTANDING | UNDERSTANDING | OK
lvl_unemployment | UNEMPLOYMENT | UNEMPLOYMENT | OK
lvl_unique | UNIQUE | UNIQUE | OK
lvl_unquestionably | UNQUESTIONABLY | UNQUESTIONABLY | OK
lvl_use | USE | USE | OK
lvl_vacuum | VACUUM | VACUUM | OK
lvl_vizier | VIZIER | VIZIER | OK
lvl_wednesday | WEDNESDAY | WEDNESDAY | OK
lvl_whale | WHALE | WHALE | OK
lvl_whisk | WHISK | WHISK | OK
lvl_who | WHO | WHO | OK
lvl_whole | WHOLE | WHOLE | OK
lvl_wizardry | WIZARDRY | WIZARDRY | OK
lvl_wolf | WOLF | WOLF | OK
lvl_women | WOMEN | WOMEN | OK
lvl_wrap | WRAP | WRAP | OK
lvl_wreck | WRECK | WRECK | OK
lvl_wrist | WRIST | WRIST | OK
lvl_wrong | WRONG | WRONG | OK
lvl_xenophobia | XENOPHOBIA | XENOPHOBIA | OK
lvl_xylophone | XYLOPHONE | XYLOPHONE | OK
lvl_yacht | YACHT | YACHT | OK
lvl_zoo | ZOO | ZOO | OK

Misspellings
id | expected | reconstructed | ruleKey
--- | --- | --- | ---
lvl_effectively | EFFECTIVELY | EFFEKTIVELY | ["UH_E","F_FF","EH_E","K_K","T_T","IH_I","V_VE","L_L","EE_Y"]
